"","species_list"
"1","Goniastrea edwardsi"
"2","Millepora exaesa"
"3","Stylophora pistillata"
"4","Dipsastraea albida"
"5","Echinopora forskaliana"
"6","Goniastrea retiformis"
"7","Stylophora sp."
"8","Pavona varians"
"9","Dipsastraea laxa"
"10","Favites sp."
"11","Dipsastraea favus"
"12","Millepora dichotoma"
"13","Montipora informis"
"14","Platygyra daedalea"
"15","Dipsastraea sp."
"16","Echinopora fruticulosa"
"17","Platygyra sinensis"
"18","Favites halicora"
"19","Acropora variolosa"
"20","Montipora verrucosa"
"21","Psammocora profundacella"
"22","Cyphastrea chalcidicum"
"23","Pleuractis granulosa"
"24","Leptastrea purpurea"
"25","Platygyra lamellina"
"26","Cyphastrea microphthalma"
"27","Montipora cryptus"
"28","Dipsastraea danae"
"29","Pocillopora sp."
"30","Acropora samoensis"
"31","Cyphastrea serailia"
"32","Dipsastraea pallida"
"33","Dipsastraea matthai"
"34","Goniastrea pectinata"
"35","Acanthastrea echinata"
"36","Plesiastrea versipora"
"37","Platygyra crosslandi"
"38","Dipsastraea speciosa"
"39","Hydnophora exesa"
"40","Favites pentagona"
"41","Acropora valida"
"42","Acropora sp."
"43","Paramontastraea peresi"
"44","Sclerophyllia margariticola"
"45","Porites sp."
"46","Acropora eurystoma"
"47","Favites vasta"
"48","merulinid sp."
"49","merulinid "
"50","Goniastrea sp."
"51","Coscinaraea monile"
"52","Favites micropentagonus"
"53","Platygyra sp."
"54","Pocillopora damicornis"
"55","Favites abdita"
"56","Leptastrea transversa"
"57","Favites rotundata"
"58","Pocillopora verrucosa"
"59","Acropora squarrosa"
"60","Lobophyllia hemprichii"
"61","Lobophyllia hataii"
"62","Favites complanata"
"63","Siderastrea savignyana"
"64","Gyrosmilia interrupta"
"65","Porites lobata"
"66","Cyphastrea sp."
"67","Astreopora myriophthalma"
"68","Alveopora allingi"
"69","Porites lutea"
"70","Astreopora gracilis"
"71","Platygyra acuta"
"72","Pavona decussata"
"73","Montipora danae"
"74","Echinophyllia aspera"
"75","Dipsastraea amicorum"
"76","fungiid sp."
"77","Montipora sp."
"78","Alveopora daedalea"
"79","Leptastrea inaequalis"
"80","Porites solida"
"81","Porites fontanesii"
"82","Montipora venosa"
"83","Porites sp. "
"84","Stylophora subseriata"
"85","Montipora meandrina"
"86","Stylophora sp. "
"87","Stylocoeniella guentheri"
"88","Echinophyllia bulbosa"
"89","fungiid "
"90","Porites nodifera"
"91","Montipora stilosa"
"92","Montipora tuberculosa"
"93","Galaxea fascicularis"
"94","Platygyra sp. "
"95","Lobophyliid "
"96","Porites columnaris"
"97","Turbinaria  reniformis"
"98","Plerogyra sinuosa"
"99","Rhizopsammia wettsteini"
"100","Leptoseris mycetoseroides"
"101","Tubastraea micranthus"
"102","Alveopora ocellata"
"103","Seriatopora hystrix"
"104","porites fontanesii"
"105","Cynarina lacrymalis"
"106","Gardinoseris planulata"
"107","Leptoseris yabei"
"108","Blastomussa merleti"
"109","Porites "
"110","Caulastraea tumida"
"111","Trachyphyllia geoffroyi"
"112","Merulina scheeri"
"113","Goniopora columna"
"114","Stylophora kuehlmanni"
"115","Madracis kirbyi"
"116","Stylocoeniella armata"
"117","Pachyseris speciosa"
"118","Leptoseris glabra"
"119","Leptoseris sp."
"120","Stylophora mamillata"
"121","Psammocora nierstraszi"
"122","Leptoseris incrustans"
"123","Blastomussa sp."
"124","Alveopora sp."
"125","Mycedium elephantotus"
"126","Dipsastraea "
"127","Agariciid "
"128","Pavona explanulata"
"129","Euphyllia paradivisa"
"130","Plesiastrea profundacella"
"131","Echinophyllia echinata"
"132","lobophyllia hemprichii"
"133","paragoniastrea russelli"
"134","Echinopora lamellosa"
"135","Pavona cactus"
"136","Craterastrea levis"
"137","unidentified "
"138","Echinopora sp."
"139","Echinophyllia sp."
"140","Stylophora "
"141","Favites "
"142","Podabacia crustacea"
"143","Cynarina  lacrymalis"
"144","Podabacia sinai"
"145","Echinopora gemmacea"
"146","Montipora sp"
"147","Oxypora lacera"
